modification_id,category_name,brand_name,part_name,price_inr,price_usd,hp_change_bhp,torque_change_nm,mileage_change_kmpl,weight_change_kg,material,is_universal
4e23a96530f845159a91012ff71af6e2,Auxiliary Lights & Lighting,Code6 Lighting,Code6 60W Quad LED Auxiliary Fog Lights,3200.0,38.0,0.0,0.0,-0.2,0.4,Die-Cast Aluminium / IP68 Lens,1
0a23758534a849b1a6212540bd9a745c,Bumpers & Crash Protection,KTM Powerparts,KTM Powerparts Frame Sliders & Crash Pads (Duke 390),5200.0,62.0,0.0,0.0,0.0,0.6,Anodised Aluminium / POM,0
5f762c1797c24776b62b4b3894c752b4,Bumpers & Crash Protection,Legundary,Legundary Crash Protector Kit (GT 650),6500.0,78.0,0.0,0.0,0.0,2.4,6061 Aluminium / Polyoxymethylene,0
2d2fea35b986442abe172904f237b827,Bumpers & Crash Protection,Zana Motorcycles,Zana Heavy-Duty Bumper & Engine Guard (GT 650),4800.0,58.0,0.0,0.0,0.0,1.8,Powder-Coated MS Steel,0
3b72cabdb1a04fb9aa1ab4244a288cd8,Bumpers & Crash Protection,Zana Motorcycles,Zana Himalayan 450 Knuckle Guard Set,3800.0,46.0,0.0,0.0,0.0,0.8,6061 Aluminium,0
a1cb4d4ced5443d89a856466e6ad8a71,ECU Chips & Tuning,Bazzaz,Bazzaz Z-FI TC Traction Control + Fuel System (R15 V4),28000.0,336.0,4.8,3.8,-0.6,0.0,PCB / Aluminium,0
ec11c9e7ab05435aa32a44f475c9834f,ECU Chips & Tuning,PowerTRONIC,PowerTRONIC V4 ECU for RE 650 Twins,18000.0,216.0,6.0,5.2,-0.8,0.0,PCB / Aluminium Enclosure,0
aad80f578414420b8b8aac468c2a5cec,ECU Chips & Tuning,PowerTRONIC,PowerTRONIC V4 ECU for KTM Duke 390,16500.0,198.0,5.5,4.8,-0.5,0.0,PCB / Aluminium Enclosure,0
c52645b6169a4450a9c9fe1979bddaeb,Ergonomics & Touring Seats,Motero Comfort,Motero Dual-Gel Touring Seat (RE 650),4200.0,50.0,0.0,0.0,0.0,0.3,Memory Foam / Dual Gel,0
d599d93752fb4bc4bfb01ad4159a711c,Exhaust Systems,AEW Exhausts,AEW 102 Stainless Steel Full Exhaust System,22500.0,270.0,3.5,3.0,-0.8,-3.2,Stainless Steel 304,0
234b7cafcbcc499fb52021006e2bcc02,Exhaust Systems,Akrapovic,Akrapovic S-Y10SO47-HAPC Slip-On Racing Exhaust,68500.0,822.0,5.2,3.8,-1.2,-4.1,Titanium / Carbon Fibre,0
69240e7fdc3d4210833c40a064e7301e,Exhaust Systems,Akrapovic,Akrapovic Evolution Full Exhaust (CBR650R),82000.0,984.0,8.0,5.2,-1.8,-6.2,Titanium / Carbon,0
43215dbc61ff42efb6e3d3ab59aee770,Exhaust Systems,Akrapovic,Akrapovic Racing Line Full Exhaust (Ninja 400),55000.0,660.0,5.0,4.2,-1.0,-3.6,Stainless / Titanium,0
43675d1c21494b6db57a292b11b27773,Exhaust Systems,Austin Racing,Austin Racing GP1R Titanium Full System,42000.0,504.0,5.5,4.8,-1.1,-3.8,Titanium,0
f68c5fa030f24d2b955c4b27ec091af2,Exhaust Systems,Borla,Borla ATAK Full Exhaust (Apache RTR 310),18000.0,216.0,3.5,2.8,-0.7,-2.0,Stainless Steel,0
eb5c53a5a3ea4338bb3cb3a9aaa87e6d,Exhaust Systems,Dominator Exhausts,Dominator HP1 Carbon Exhaust (Himalayan 450),28000.0,336.0,4.0,3.5,-1.0,-3.0,Carbon Fibre / Stainless,0
f7bb457c318f4e66b6a604b49ff25ca0,Exhaust Systems,Powerage Performance,Powerage GT 650 Short Muffler Slip-On Exhaust,12800.0,154.0,2.0,1.8,-0.5,-1.8,Stainless Steel / Heat Wrap,0
